div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,manager_id,manager_name,caretaker,date_from,date_until,hometeam_uid,awayteam_uid,points_lastseason
E0,2008,2009-03-15,Chelsea,29,1,3,1,Man City,0,0,95,Guus Hiddink,1,16feb2009,31may2009,11,19,85
E0,2008,2009-02-01,Chelsea,24,0,0,0,Liverpool,3,2,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,18,11,85
E0,2008,2009-03-03,Chelsea,28,0,3,1,Portsmouth,0,0,95,Guus Hiddink,1,16feb2009,31may2009,24,11,85
E0,2008,2009-04-11,Chelsea,32,1,3,4,Bolton,0,3,95,Guus Hiddink,1,16feb2009,31may2009,11,6,85
E0,2008,2009-01-28,Chelsea,23,1,3,2,Middlesbrough,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,21,85
E0,2008,2009-05-02,Chelsea,35,1,3,3,Fulham,0,1,95,Guus Hiddink,1,16feb2009,31may2009,11,14,85
E0,2008,2008-08-31,Chelsea,3,1,1,1,Tottenham,1,1,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,31,85
E0,2008,2009-05-10,Chelsea,36,0,3,4,Arsenal,0,1,95,Guus Hiddink,1,16feb2009,31may2009,1,11,85
E0,2008,2009-05-24,Chelsea,38,0,3,3,Sunderland,0,2,95,Guus Hiddink,1,16feb2009,31may2009,29,11,85
E0,2008,2009-05-03,Everton,35,0,3,2,Sunderland,0,0,58,David Moyes,0,15mar2002,01jun2013,29,13,65
E0,2008,2009-01-28,Everton,23,1,1,1,Arsenal,1,1,58,David Moyes,0,15mar2002,01jun2013,13,1,65
E0,2008,2008-11-24,Everton,14,0,0,0,Wigan,3,1,58,David Moyes,0,15mar2002,01jun2013,35,13,65
E0,2008,2008-08-30,Everton,3,1,0,0,Portsmouth,3,3,58,David Moyes,0,15mar2002,01jun2013,13,24,65
E0,2008,2008-10-05,Everton,7,1,1,2,Newcastle,1,2,58,David Moyes,0,15mar2002,01jun2013,13,22,65
E0,2008,2009-04-22,Everton,33,0,1,0,Chelsea,1,0,58,David Moyes,0,15mar2002,01jun2013,11,13,65
E0,2008,2009-03-14,Everton,29,1,3,3,Stoke,0,1,58,David Moyes,0,15mar2002,01jun2013,13,28,65
E0,2008,2008-09-21,Everton,5,0,1,2,Hull,1,2,58,David Moyes,0,15mar2002,01jun2013,16,13,65
E0,2008,2008-09-14,Everton,4,0,3,3,Stoke,0,2,58,David Moyes,0,15mar2002,01jun2013,28,13,65
E0,2008,2008-10-25,Everton,9,1,1,1,Man United,1,1,58,David Moyes,0,15mar2002,01jun2013,13,20,65
E0,2008,2009-01-19,Everton,22,0,1,1,Liverpool,1,1,58,David Moyes,0,15mar2002,01jun2013,18,13,65
E0,2008,2009-04-25,Everton,34,1,0,1,Man City,3,2,58,David Moyes,0,15mar2002,01jun2013,13,19,65
